French,English
histoire,history
chercher,search
pensais,thought
mois,month
frère,brother
laisser,let
mettre,to put
aucun,no
eux,them
ville,city
parlé,speak
arrivé,come
devrait,should
pendant,while
revoir,meet again
aucune,any
pourrais,could
affaire,case
donner,give
type,type
leurs,their
donné,given
train,train
corps,body
endroit,place
écoute,listen
dont,whose
trouve,find
premier,first
perdu,lost
main,hand
côté,side
pouvoir,power
tellement,so much
venu,came
suite,after
pardon,sorry
venez,come
devant,in front of
vers,towards
demandé,request
aimerais,would like to
mari,husband
enfin,finally
espère,hope
eau,water
parti,left
arrêter,Stop
compte,account
loin,far
croire,believe
chérie,sweetheart
gros,large
aura,will have
